BĐS,Loại BĐS,Tỉnh/Thành phố,Quận/Huyện,Diện tích(m2),Phòng ngủ,Nhà vệ sinh,Giá (tỷ đồng),Triệu/m2,Thời gian(năm)
Bán nhà quận 11 ngay vòng xoay Hoà Bình 2 tầng (8*19) HXH chưa qua đầu tư chỉ hơn 14 tỷ TL,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 11,150.0,8.0,1.0,14.9,99.3,2025
Bán nhà HXH Nguyễn Oanh P10 DT 5x10m trệt 2 lầu giá 7.2 tỷ TL,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,50.0,1.0,1.0,7.2,144.0,2025
Chính chủ bán biệt thự hẻm xe hơi Dương Quảng Hàm DT 13x19m trệt 2 lầu giá 21.5 tỷ LH 0937 405 ***,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,247.0,1.0,1.0,21.5,87.0,2025
*Cơ Hội Vàng: Giảm Ngay 500 Triệu! Chốt.Chỉ Còn 5 Tỷ 100! Nhà đẹp Hẻm xe hơi Hoàng Hoa Thám. 4 tầng,Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,30.0,3.0,4.0,5.1,170.0,2025
"Bán nhà đường Nguyễn Hữu Dật, DT: 60m2 (4 X 16m) đường trước nhà 8m",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,60.0,4.0,3.0,9.3,155.0,2025
"Nhà hẻm oto 8m sát mặt tiền - 5 tầng - 40m2 - ô tô vào nhà, ngang 5.2m - 8 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,40.0,3.0,4.0,8.0,200.0,2025
"Nhà Mini 3 Tầng (2PN) ngay 1/ Chế Lan Viên, Tân Phú. Giá 1,36 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,14.0,2.0,2.0,1.4,97.1,2025
"Nhà 3 tầng HXT - trung tâm Phường 1 Q11 - 3.9x15m - PL chuẩn, HC đủ - Chào 8.2 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 11,56.0,3.0,2.0,8.2,146.4,2025
"Đừng bỏ lỡ - sở hữu ngay nhà 4 tầng Phú Nhuận, Nguyễn Thượng Hiền hẻm 3m, 36m2, giá cực tốt 5.95 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,36.0,4.0,5.0,6.0,165.3,2025
Chủ cần bán gấp nhà An Lạc Bình Tân 60m2-4Tỷ8 SHR thích hợp kinh doanh đang cho thuê 9 triệu/tháng,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,60.0,3.0,2.0,4.8,80.0,2025
"Bán căn nhà DT 15m2, ngã tư Bảy Hiền, nhà 1 lầu 1 trệt, 2 WC, hẻm xe ba gác, giá 1 tỷ 8, SHR",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,15.0,2.0,2.0,1.8,120.0,2025
"Nhà 1T3L đường ô tô thông - gần chợ Hoa Cau, CD Công Thương - PLB",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,64.9,4.0,2.0,8.6,132.5,2025
Bán nhà diện tích lớn sát dự án Tham Lương Bến Cát diện tích lớn 4.5 tỷ gần Lê Đức Thọ P15 Gò Vấp,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,51.5,1.0,1.0,4.5,87.4,2025
"Hiếm! Ngang rộng: 6.5m x 12m hẻm ô tô Trần Nhật Duật, Tân Định, Q1 chỉ 13 tỷ TL mạnh, 0902 323 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 1,78.0,1.0,1.0,13.0,166.7,2025
"Siêu vị trí Bàu Cát phường 14 quận Tân Bình (5x20m) 4 tầng nhà mới đẹp, giá chỉ 15.5 tỷ còn TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,100.0,5.0,6.0,15.5,155.0,2025
BÁN NHÀ KHO NGAY KHU PHÂN LÔ ĐỒNG BỘ DT 5 X 30M VUÔNG A4 DÒNG CHỈ 7.1 TỶ,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,210.0,1.0,1.0,7.1,33.8,2025
"Bán nhà góc 2 mặt tiền, phường An Phú cách ga Metro 20m",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 2,124.0,2.0,1.0,24.0,193.6,2025
Phạm văn chiêu 4 tầng lầu dt (4x15m) nhà đẹp full nội thất LH 0906 389 ***,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,60.0,4.0,5.0,8.2,136.7,2025
"Bán nhà trung tâm Quận 5 giá 10.8 tỷ hẻm xe hơi Nguyễn Trãi, P7 ngay mặt đường chính",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 5,42.3,5.0,5.0,10.8,255.3,2025
Cần bán gấp nhà Vườn Lài ô tô thông - 5m x 18m - 3 tầng 4PN3WC - Chỉ 6.9 tỷ TL,Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,90.0,4.0,3.0,6.9,76.7,2025
"Nhà 1 lầu hẻm 61 hẻm đẹp nhất đường Đất Thánh, DT: 4 x 20m có thể ở hoặc cho thuê, giá 9,5 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,88.0,4.0,4.0,9.5,108.0,2025
"Bán gấp nhà đẹp ĐS 65 Nguyễn Thị Thập, P Tân Phong, Quận 7, DT 70m2, sổ riêng, Giá 4 tỷ 780",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 7,70.0,4.0,3.0,4.8,68.3,2025
"Bán NR 4PN, 3WC, 52m2 tại Phạm Hữu Lầu, Nhà Bè, HCM giá 4,95 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Nhà Bè,52.0,4.0,3.0,5.0,95.2,2025
"Nhà mới 3T 4PN DTSD 145m2, 5,27 tỷ, Lò Lu, Trường Thạnh, Q9, HCM, giá ưu đãi trong tháng 5",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,51.0,4.0,3.0,5.3,103.3,2025
"CHDV bán căn hộ ngay Thống Nhất P16 Gò Vấp DT: 8 x 29m, lửng 3 lầu DT đất: 219m2 thu nhập 160tr/th",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,219.0,31.0,1.0,36.0,164.4,2025
"Bán nhà 2 tầng 84m2 UBND p Phú Hữu Q9 4,1 tỷ sổ hồng đường oto LH 0902 966 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,84.0,3.0,2.0,4.1,48.8,2025
"Nhà 5 tầng đường 12m Thới An 16, khu phân lô đồng bộ, DT 66m2 (4,2x16m), phường Thới An, Q12, 6,4ty",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,66.0,4.0,4.0,6.4,97.0,2025
"Bán NR 120m2, 18,190 tỷ ở KDC Trung Sơn, Bình Hưng, Bình Chánh, HCM",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Chánh,120.0,5.0,6.0,18.2,151.6,2025
HẺM XE HƠI THÔNG-GẦN MẶT TIỀN - NHÀ 5 TẦNG MỚI ĐẸP Ở NGAY-55M2-6PN-PHẠM VĂN CHIÊU GV-CHỈ 6TỶ5 TL,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,55.0,5.0,5.0,6.5,118.2,2025
"Hẻm nhựa 7m thông các hướng 186m2(8x24m) 2 tầng thuê 22 triệu Lê Đình Cẩn, Tân Tạo, Bình Tân",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,186.0,4.0,4.0,12.5,67.2,2025
"Bán gấp nhà riêng 5PN, 5WC, 66m2 tại Tây Thạnh, Tân Phú, HCM, giá nhỉnh 7 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,66.0,5.0,5.0,7.5,113.6,2025
"Bán nhà đẹp bự chảng HXH Nguyễn Thị Thập Q. 7, 8x18m, trệt 2 lầu, giá mềm, call 0909 227 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 7,137.8,4.0,5.0,16.0,116.1,2025
"Chủ đang định cư ở Úc! Bán nhà HXH Lê Văn Sỹ, P14, Q3. DT: 100m2(4,5x23m) - 3 tầng, chỉ 16,5 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,100.0,1.0,1.0,16.5,165.0,2025
"Bán nhà ngang 7m HXH, 5 tầng đường Tô Hiến Thành, Quận 10. Giá chỉ 14 tỷ ngay Big C",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,86.6,6.0,7.0,14.0,161.7,2025
"Quận 11, nhà đẹp Lạc Long Quân, xe hơi vô nhà, sổ hồng hoàn công đủ, gần chợ hoa, trường học",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 11,59.0,7.0,8.0,9.6,162.7,2025
"Bán nhà Tân Phú nhà đường Vườn Lài, DT 90m2 ngang 5m giá 6 tỷ nhỉnh",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,90.0,2.0,3.0,6.6,73.3,2025
"Bán nhà HXH 43m2, sát ngã 4 Bốn Xã, Bình Tân",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,43.0,1.0,1.0,3.4,79.1,2025
"Giảm mạnh, nhà cực đẹp giá mềm nhất khu vực HXH 6m Huỳnh Văn Bánh 5,1mx12m, 5 tầng, 15 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,70.0,1.0,1.0,15.0,214.3,2025
"VIP, nhà rất rộng, cực sang, HXH Hoàng Văn Thụ, 7,5mx13,5m; 85m2, 5 tầng, thang máy, chỉ 19,9 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,85.0,1.0,1.0,19.9,234.1,2025
"Nhà mới đẹp, HXH né nhau, kế KDC Hồng Long, 50m2, ngang 5m,gần QL13, Hiệp Bình Phước,Thủ Đức,4 tỷ 2",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,50.0,2.0,2.0,4.2,84.0,2025
"Nhà cực hiếm phường Võ Thị Sáu, bề ngang rộng HXH Trần Quốc Toản, 6x17m (101,3 m2), chỉ 18,5 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,101.3,1.0,1.0,18.5,182.6,2025
"Hạ giá còn 6,1 tỷ, cần bán nhà tại hẻm 61/, đường số 19, F8, Gò Vấp, 3.8x14m (53m2). Chính chủ rao!",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,53.0,3.0,3.0,6.1,115.1,2025
"Bán nhà hẻm ô tô Bình Trị Đông, Bình Tân, ngay chợ 48m2 - 4x12 - 5 tầng, chỉ nhỉnh 5 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,48.0,4.0,3.0,5.8,120.8,2025
"Bán gấp, HXH, đường số 2, Hiệp Bình Phước, Thủ Đức, 3.4 tỷ, ngay cầu ông dầu",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,40.0,2.0,1.0,3.4,85.0,2025
"Duy nhất 1 căn 5x17m. HXH VIP 6m Lý Thường Kiệt, Q10 vị trí đẹp gần Xi Grand Court, chỉ 15.5tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,88.0,5.0,6.0,15.5,176.1,2025
"Bán nhà MT đường xe tải 62m2 3 tầng Hướng Tây Bắc gần BV Q2 sổ hông 4,9 tỷ bao sang tên 0902 966 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 2,62.0,4.0,5.0,4.9,79.0,2025
"Bán nhà Chu Văn An HXH 7 chỗ KPL Bình Thạnh, ngang gần 5m vuông A4, 3 tầng BTCT, mới đẹp ở ngay",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,53.0,4.0,4.0,9.2,173.6,2025
"Bán nhà hẻm 110 đường số 7 phường 3 quận gò vấp, dt 78m2 hẻm 4m",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,78.0,5.0,3.0,11.0,141.0,2025
"Bán nhà HXH Bạch Đằng, Phường 2, Tân Bình 6.2x15m 4 tầng 8PN, giá 12.8 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,73.0,8.0,8.0,12.8,175.3,2025
"Bán gấp nhà HXH 1087/12 Hoàng Sa, Phường 11, Quận 3. chủ nhà 949.528.886 tiếp khách thiện chí KQC",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,72.0,1.0,1.0,9.2,127.8,2025
"Bán nhà đường Hòa Bình, Tân Quý, DT 5x20m, nhà nát, giá chỉ 7 tỷ TL gần RichStar!",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,100.0,1.0,1.0,7.0,70.0,2025
"Bán nhà đường xe hơi Chợ Hiệp Bình Chánh 54m2 giá 3,65 tỷ còn TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,54.0,2.0,2.0,3.6,67.6,2025
CHÍNH CHỦ BÁN NHÀ MỚI XÂY MÃ LÒ AO ĐÔI HẺM XE TẢI RỘNG GIÁ 2 TỶ 680 TRIỆU (THƯƠNG LƯỢNG),Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,35.0,2.0,2.0,2.7,76.6,2025
Hiếm nhà bán trong khu vực - hẻm oto kinh doanh - đường 3 Tháng 2 Quận 10 - giá 7 tỷ 999 triệu,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,43.9,5.0,3.0,8.0,182.2,2025
"Bán NR DT đẹp, ngang 7,6m, 14,8 tỷ tại An Bình, Q5, HCM, giá tốt Hot, khai thác dòng tiền cao",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 5,83.0,12.0,13.0,14.8,178.3,2025
"NHÀ 1T2L CÁCH MT Đ.SỐ 2 CHỈ 100M - ĐANG CHO THUÊ 14TR/THÁNG - DT 56,1M2 HXH QUAY ĐẦU",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,56.1,4.0,4.0,7.8,139.0,2025
"Chính chủ cần bán căn nhà đang kinh doanh 5 tầng tại 667 Đ. Trần Xuân Soạn, Tân Hưng, Q. 7, HCM",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 7,120.7,20.0,20.0,27.0,223.7,2025
"Cần bán nhà Thạch Lam, Tân Phú, DT 6x15.5m, hướng Bắc, SHR giá tốt 7.2 tỷ!",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,92.7,1.0,1.0,7.2,77.7,2025
"SẢN PHẨM HIẾM DUY NHẤT TẠI ĐƯỜNG LÊ THÁNH TÔN PHƯỜNG BẾN NGHÉ, QUẬN 1",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 1,64.0,3.0,3.0,21.0,328.1,2025
"Nhà Phan Văn Hân, phường 17, quận Bình Thạnh, 6.2mx11.8m 61.4m2, 3 tầng giá 9tỉ6, LH: 0764 802 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,61.4,8.0,8.0,9.6,156.3,2025
"Bán nhà Quận 12, Thạnh Lộc 22 giấy tờ kê khai",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,20.0,1.0,1.0,1.2,59.0,2025
"Nhà 4 Tầng. Hẽm xe hơi đường 3/2, Phường 2, Quận 11",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 11,50.0,4.0,4.0,8.5,170.0,2025
Bán nhà Quận 12 Thạnh Xuân 25 đường xe hơi,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,32.0,2.0,2.0,1.3,40.3,2025
"Nhà 2 tầng, DT 6x19m, CN 110m2, HXH 6m 1 sẹc Bùi Đình Túy, giá chỉ 122tr/m2",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,110.0,1.0,1.0,13.5,122.7,2025
"Nhà Đẹp Ở Ngay, DT 4x16m, CN 65m2, HXH 8m Xô Viết Nghệ Tĩnh, giá chỉ 10.9 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,65.0,1.0,1.0,10.9,167.7,2025
"3 tỷ 1 - hẻm 4m - nhà 2 tầng - 3PN - 104m2 - (4,5m x 23m) - ĐCT 4tr/tháng - Phường Trường Thọ - TĐ",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,104.0,3.0,2.0,3.1,29.8,2025
"Bán nhà Quận 12, Thạnh Lộc 15, hẻm xe hơi",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,36.0,3.0,2.0,1.8,49.4,2025
"Khu phân lô 57 Tô Hiệu, 4x15m: 6.5 tỷ, đường nhựa thông 8m",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,58.0,1.0,1.0,6.5,112.1,2025
"4 x 21m, bán nhà 3 tầng, HXH Đặng văn Ngữ - thông hẻm Lê Văn Sỹ - phú nhuận, giá 15,5 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,84.0,1.0,1.0,15.5,184.5,2025
"Nhà riêng đẹp tại Huỳnh Văn Một, Hiệp Tân, Tân Phú, Tân Phú, 8,6 tỷ 54m2, nhiều tiện ích hàng hiếm",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,72.0,3.0,2.0,8.6,119.4,2025
"Cần bán nhà mới 100% Tỉnh Lộ 10, P. BTĐ - 2 tầng 3PN2WC - hẻm xe tải 6m thông - chỉ 2.95 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,49.0,3.0,2.0,3.0,60.2,2025
"Khan hiếm - giá rẻ chỉ 8.5 tỷ: Bán nhà Bình Thạnh - HXH Bùi Đình Túy, P24 - DT vàng 4,5x12m",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,50.0,4.0,5.0,8.5,170.0,2025
"Nhà 4 tầng mới leng keng, hẻm 8m Đỗ Thừa Luông giá 7.2 tỷ, chuyển vào ngay",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,54.0,3.0,3.0,7.2,133.3,2025
"Nhà góc 2 mặt tiền hẻm xe hơi Nguyễn Văn Đậu, P11 Bình Thạnh giá giảm sâu chỉ 14.5 tỷ LH 0902 977 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,108.0,4.0,7.0,14.5,134.3,2025
"Hot nhất khu vực, chủ đầu tư mở bán 44căn đường thông 9m, cạnh đô thị Vạn Phúc view sông Sài Gòn",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,60.0,4.0,5.0,8.1,134.2,2025
"Biệt thự 2 mặt hẻm Quốc Lộ 13, Hiệp Bình Chánh, TP.Thủ Đức, DT 20x15m 2 tầng, mái ngói, giá 11 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,284.0,4.0,2.0,11.0,38.7,2025
"Bán nhà CC gần HXH, 2 tầng Nguyễn Văn Đậu P6, 66.9m2 chỉ 6.9 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,66.9,4.0,3.0,6.9,103.1,2025
"Căn góc siêu hiếm, ngang 10m, HXH Trần Quang Diệu, 85 m2, 4 tầng, DT: 25 triệu, 18 tỷ Thương lượng",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,85.0,1.0,1.0,18.0,211.8,2025
Nhà 2 tầng Hiệp Phú - Rẻ hơn giá đất - Hẻm xe hơi - 135m2 ngang 7m - Chỉ 6. X TL,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,135.0,3.0,2.0,6.2,45.9,2025
"Bán nhà riêng 4,7 tỷ, 92m2, 2PN, 2WC view đẹp tại Tân Tạo, Bình Tân, HCM",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,92.0,2.0,2.0,4.7,51.1,2025
"Bán nhà riêng tại Bạch Đằng, 22,5 tỷ VND, 157 m2, Q. Bình Thạnh, HCM giá siêu hời",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,157.0,1.0,1.0,22.5,143.3,2025
"HXH vip 6.3mx16m Cao Thắng Q10, 3 lầu ST ngay HàĐô Centrosa vị trí đẹp giá 16.8 tỷTL, HDT 50tr/th",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,101.8,10.0,11.0,16.8,165.0,2025
Duy nhất khu nhà gần chợ Bình Triệu đối diện Đại học Luật vị trí đẹp cách QL13 80m,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,60.0,4.0,4.0,8.1,135.3,2025
"Bán nhà riêng 5PN, 4WC, giá 7,6 tỷ, diện tích 44,55m2 tại Nguyễn Văn Đậu, P6, Bình Thạnh, HCM",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,44.5,5.0,4.0,7.6,170.6,2025
Chính chủ bán nhà shr lê quang định 2ty150,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,14.0,1.0,1.0,2.1,153.6,2025
"Bán nhà riêng tại Ung Văn Khiêm, 13,8 tỷ, 70m2, giá cực chất uy tín",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,70.0,3.0,2.0,13.8,197.1,2025
"Bán gấp vị trí HXH siêu đẹp 7 chỗ thông Tô Hiến Thành, P13, Q10 4x16.5m xuống giá mạnh còn 10.5 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,72.9,2.0,3.0,10.5,144.0,2025
Siêu phẩm gần đường Văn Cao - Tân Phú - 4x20m - 4 tầng - HXH thông - nhỉnh 7 tỷ,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,80.0,4.0,4.0,7.8,98.1,2025
"Bán nhà 730/77/2B đường Hương Lộ 2, 56m2, 04 tầng, PBTĐA, Q. Bình Tân (6,97 TỶ/TL)",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,56.1,4.0,5.0,7.3,130.1,2025
"Bán nhà 6/29 Bùi Thị Xuân p.2 Tân Bình ngay sân bay 3,5x8m 1T1L giá 3,5 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,27.0,2.0,2.0,3.5,129.6,2025
Nhà 3 tầng full công năng 4PN 3WC chỉ 4.8 tỷ - 56m2 4x14m - Linh Đông Thủ Đức,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,56.0,4.0,3.0,4.8,85.7,2025
"Chính chủ bán nhà HXH 6m 400/12 Lê Văn Sỹ, 6x6m, 5 tầng, giá 9 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,36.0,4.0,5.0,9.0,250.0,2025
"Nhà bán 3 tầng 5x19m, hẻm 5m. Trần Thị Cờ, Thới An, Quận 12",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,93.0,6.0,5.0,5.6,60.2,2025
Siêu phẩm đường 10m D2 Nguyễn Gia Trí P25 Bình Thạnh (4x20m) 4 tầng mới cứng rẻ hơn thị trường 15%,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,87.0,4.0,4.0,16.0,183.9,2025
Hẻm xe hơi cách mặt tiền chỉ 5 căn nhà Đường Bạch Đằng P24 (4.6x14) 4 tầng xe hơi đậu trong nhà,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,51.0,4.0,4.0,9.9,194.1,2025
"Đầu tư sinh lời ngay khu vực Quận 3. Vị trí đẹp thoáng mát, chính chủ cần bán có shr, pháp lý chuẩn",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,100.0,7.0,7.0,16.9,169.0,2025
Chủ Giảm 200 triệu còn 4 tỷ 300 BÁN NHÀ ĐẸP FULL NỘI THẤT 2 TÂNG VÀO Ở NGAY TẠI LINH XUÂN THỦ ĐỨC.,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,86.0,2.0,3.0,4.3,50.0,2025
Bán nhà đối diện Vạn Phúc City - hẻm ô tô 72.5m2 3 phòng ngủ chỉ 4 tỷ 9 có thương lượng,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,72.5,3.0,1.0,4.9,67.6,2025
Bán nhà đường Đỗ Xuân Hợp Phước Long A Q9 tp Thủ Đức,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,92.0,4.0,4.0,10.0,108.7,2025
"BÁN NHÀ HẺM OTO ĐƯỜNG 48 HIỆP BÌNH CHÁNH,GẦN GIGAMALL,OTO ĐẬU TRONG SÂN,4*23 1T2L 4PN 4WC",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,92.0,4.0,4.0,8.0,87.0,2025
"Bán Nhà Đỗ Xuân Hợp gần KĐT Global City, Phước Long B, 12.5 tỷ, 90m2",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,90.0,3.0,3.0,12.5,138.9,2025
"Bán Nhà Cấp 4 Hẻm Xe Hơi Thông Đường Song Hành, Quận 12, 4x21m, nở hậu, Sổ Riêng, Giá 4.98 Tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,84.0,1.0,1.0,5.0,59.3,2025
"Bán nhà hẻm nhựa 339 Lê Văn Sỹ, P13 Q3, DT: 5,2x12m, giá: 13 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,59.5,3.0,3.0,13.0,218.6,2025
"Bán nhà cấp 4 gác lửng, 50m2, sổ riêng gần trường Nguyễn Khuyến, Quận 12, giá 3 tỷ 500",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,50.0,2.0,2.0,3.5,70.0,2025
"Bán nhà hẻm 1 sẹc đường Lê Văn Khương, Q12, DT 4x13m, giá 1ty478",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,52.0,2.0,2.0,1.5,28.5,2025
"Bán nhà hẻm VIP HXH Điện Biên Phủ, Phường 3, Q3 DTCN: 90m2, trệt 2 lầu, giá 15.5 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,90.0,1.0,1.0,15.5,172.2,2025
"BÁN NHÀ 3 TẦNG- ĐƯỜNG SỐ 2 - PHƯỚC LONG B, Q9 - NGAY CĐ CÔNG THƯƠNG. Cách đường Tăng Nhơn Phú 20m",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,100.0,1.0,1.0,13.0,130.0,2025
"KHU NHÀ CAO TẦNG-GẦN CHỢ GÒ XOÀI-MÃ LÒ-BÌNH TÂN - HẺM NHỰA 8M -3 TẦNG -56m2-GIÁ CHỈ 5,3 TỶ Alo :09",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,56.0,4.0,3.0,5.3,94.6,2025
Hẻm 12m đường Nguyễn Hữu Tiến 4.6x16.2m 2.5 tấm,Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,74.0,2.0,3.0,10.0,135.1,2025
"Nhà C4 ngay mặt tiền Trường Thọ kế Metro - 100m2 (5x20m) - view công viên, khu dân cư cao cấp",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,100.0,2.0,1.0,9.4,94.0,2025
Hot 880m2 (ngay ĐH Quốc Tế Hồng Bàng) Điện Biên Phủ P. 15 Bình Thạnh 3 tầng 16mx55m nở hậu - 105tỷ,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,840.0,1.0,1.0,105.0,125.0,2025
Siêu phẩm - Bán nhà hẻm xe hơi ĐS 8 Linh Xuân - Nhà diện tích lớn vào ở ngay - Ngay ĐH Kinh Tế Luật,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,76.7,3.0,2.0,4.7,61.3,2025
HOT ! NHÀ 3 TẦNG 180m2 NGANG KHỦNG 9M - 6PN 4WC - Hoàn công chuẩn - dọn vào là ở.,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,180.0,6.0,4.0,18.0,100.0,2025
